ID,smiles,method,fitness_mode,seed,rank,p_sweet_reencoded,pred_logsw_reencoded,d_ood_reencoded,high_sweet
Docking_only_seed2027_top10,CCOc1ccc2c(C(=O)OC34OCC(O3)C(O)C4O)cc(=O)oc2c1,Docking-only,docking_surrogate,2027,10,0.0060656201094388,2.511955499649048,6.923102378845215,False
Docking_only_seed2028_top1,COc1ccc(O)c2c1N1C3=C(COC2(O)C3)C(OC2OC(CO)C(O)C(O)C2O)c2ccccc21,Docking-only,docking_surrogate,2028,1,0.4297971129417419,2.6312344074249268,7.193515777587891,False
Docking_only_seed2028_top2,COc1ccc(OC2OC(CO)C(O)C(O)C2O)c(O)c1N(CCC(=O)O)C(=O)c1ccco1,Docking-only,docking_surrogate,2028,2,0.9957807064056396,2.6003074645996094,6.33671236038208,False
Docking_only_seed2028_top3,CCC(OC1OC(CO)C(O)C(O)C1O)C1(C)OC2CC1c1ccc3c(c1O2)Oc1ccc(OC)cc1O3,Docking-only,docking_surrogate,2028,3,0.9996094107627868,2.5484495162963867,7.460394859313965,False
Docking_only_seed2028_top4,CC1c2ccc3c(c2)N1C(Oc1ccccc1N)(c1cc2oc1cc2OC1OC(CO)C(O)C(O)C1O)C3,Docking-only,docking_surrogate,2028,4,0.9932525753974916,2.424351215362549,6.62612771987915,False
Docking_only_seed2028_top5,COc1ccc(CCc2cc3oc2c(Br)c3O)cc1OC1OC(CO)C(O)C(O)C1O,Docking-only,docking_surrogate,2028,5,0.9959272742271424,2.4096903800964355,5.814554691314697,False
Docking_only_seed2028_top6,COc1cc2cc3n4c2c2c1OC3(CC4c1ccc(OC3OC(CO)C(O)C(O)C3O)cc1O)O2,Docking-only,docking_surrogate,2028,6,0.9352129101753236,2.27789568901062,5.94120979309082,False
Docking_only_seed2028_top7,NCCC(=O)OC(=CC(=O)CCc1c2[nH]c3c(OC4OC(CO)C(O)C(O)C4O)c2oc13)C(=O)O,Docking-only,docking_surrogate,2028,7,0.9056047797203064,2.270281314849853,6.943356990814209,False
Docking_only_seed2028_top8,CCCCc1ccc(OC2OC(CO)C(O)C(O)C2O)c2c1Oc1c(O)c(C)cc(OC)c1O2,Docking-only,docking_surrogate,2028,8,0.998842179775238,2.219277620315552,6.162887573242188,False
Docking_only_seed2028_top9,COc1ccc(O)c2c1Oc1c(c3cc4c1n3CCC4OC1OC(CO)C(O)C(O)C1O)O2,Docking-only,docking_surrogate,2028,9,0.1875060647726059,2.2152650356292725,6.174708366394043,False
Docking_only_seed2028_top10,CC1(O)C=C2OCc3oc1c2c3C(=O)OC1(C)C(O)C(O)C(O)C1O,Docking-only,docking_surrogate,2028,10,0.0855138078331947,2.215137720108032,5.416770935058594,False
Docking_only_seed2029_top1,CCOC1(Oc2ccc(C#N)cc2)OC2=C3C(C4C(=O)N3c3ccccc34)C(O)(C2)C1O,Docking-only,docking_surrogate,2029,1,0.8917995095252991,2.9796619415283203,7.006536960601807,False
Docking_only_seed2029_top2,O=CC(=NOC1C(=O)N2C3COC45OC2C1(O4)C3(O)C5O)c1ccccc1,Docking-only,docking_surrogate,2029,2,0.4764912128448486,2.806471109390259,7.49666690826416,False
Docking_only_seed2029_top3,CCCCc1ccccc1OC12OC(=CC(=C(C=O)c3ccccc3Cl)O1)CC(O)C2O,Docking-only,docking_surrogate,2029,3,0.0397611558437347,2.735748767852783,7.578893184661865,False
Docking_only_seed2029_top4,O=C(C=C(C(=O)OC12OCC=C(CC(O)C1O)O2)c1ccccc1Cl)Nc1ccccc1,Docking-only,docking_surrogate,2029,4,0.0284812077879905,2.689124584197998,6.624777317047119,False
Docking_only_seed2029_top5,N#Cc1ccc(OC23OC(=CC(=C(C=O)c4ccccc4)O2)CC(O)C3O)cc1,Docking-only,docking_surrogate,2029,5,0.0151206264272332,2.670141696929932,7.0963544845581055,False
Docking_only_seed2029_top6,CCCCc1ccccc1OC12OC(=CC(=C(C=O)c3ccccc3)O1)CC(O)C2O,Docking-only,docking_surrogate,2029,6,0.8656976222991943,2.642068386077881,6.92455530166626,False
Docking_only_seed2029_top7,COCCC=C(Oc1cc(O)cc(Br)c1)C(=O)Nc1ccc(OC2OC(CO)C(O)C(O)C2O)c(O)c1,Docking-only,docking_surrogate,2029,7,0.514881432056427,2.623298168182373,6.918374538421631,False
Docking_only_seed2029_top8,CC1OC2OC3=C1C(OC(=O)C(=C1Cc4cc(F)cc(F)c4O1)c1ccccc1)=C2C(O)C3O,Docking-only,docking_surrogate,2029,8,0.0196615103632211,2.5420024394989014,8.627738952636719,False
Docking_only_seed2029_top9,O=C1OC2(OCCC(O)C2O)OC(C2=CCCC2c2ccccc2)=C1c1ccccc1,Docking-only,docking_surrogate,2029,9,0.0038290079683065,2.492364883422852,6.689749717712402,False
Docking_only_seed2029_top10,O=C1OC23OC(=CC(=C1c1ccccc1)O2)CC(O)C3OC(=O)c1cccs1,Docking-only,docking_surrogate,2029,10,0.1055921912193298,2.4606380462646484,6.801106929779053,False
Docking_only_seed2030_top1,COc1cc(C2NC3CON2C3=O)c(Cl)c(OC2OC(CO)C(O)C(O)C2O)c1O,Docking-only,docking_surrogate,2030,1,0.125901460647583,2.407135486602783,6.920893669128418,False
Docking_only_seed2030_top2,O=C1OC(c2ccc(O)c(Cl)c2)C2C3OC(c4ccccc4C3OC3OC(CO)C(O)C(O)C3O)N12,Docking-only,docking_surrogate,2030,2,0.9480320811271667,2.404468536376953,7.190339088439941,False
Docking_only_seed2030_top3,O=C1C=C2COc3c(ccc(OC4OC(CO)C(O)C(O)C4O)c3O)C2C1,Docking-only,docking_surrogate,2030,3,0.4451008439064026,2.397594928741455,6.5362725257873535,False
Docking_only_seed2030_top4,NC(=CC=C1C(=O)CC2CC13Oc1cc4oc1c(c43)O2)OC1OC(CO)C(O)C(O)C1O,Docking-only,docking_surrogate,2030,4,0.0420113578438758,2.360513210296631,5.894245147705078,False
Docking_only_seed2030_top5,CC(=O)CC1c2cc(O)c(Cl)c(c2O)OC1(CF)OC1OC(CO)C(O)C(O)C1O,Docking-only,docking_surrogate,2030,5,0.996634304523468,2.3595333099365234,6.55083703994751,False
Docking_only_seed2030_top6,CCOc1cc(OC2OC3COC(CC)(CC)OC3C(O)C2O)cc2c(O)cc(C=O)nc12,Docking-only,docking_surrogate,2030,6,0.0377732589840889,2.294781446456909,7.077818870544434,False
Docking_only_seed2030_top7,O=C1C=C(F)C2(OC3OC(CO)C(O)C(O)C3O)Oc3c(O)c(cc(O)c3Cl)C2C1,Docking-only,docking_surrogate,2030,7,0.9898908138275146,2.1916613578796387,7.019203186035156,False
Docking_only_seed2030_top8,O=C1NC2C3NN4C25OC(OC2OC(CO)C(O)C(O)C2O)C14C3(CO)O5,Docking-only,docking_surrogate,2030,8,0.0613723881542682,2.1515369415283203,6.149951457977295,False
Docking_only_seed2030_top9,O=C1C=C2COc3c4cc(c(OC5OC(CO)C(O)C(O)C5O)c3O)OC24C1,Docking-only,docking_surrogate,2030,9,0.0212232638150453,1.872408628463745,6.174525260925293,False
Docking_only_seed2030_top10,COC(=O)c1ccc(O)c(Oc2c(OC)cc(C)cc2OC2OC(CO)C(O)C(O)C2O)c1Cl,Docking-only,docking_surrogate,2030,10,0.9924847483634948,1.8028895854949951,5.381405830383301,False
Gate_Docking_seed2026_top1,CC1(C)NC23CC(=O)C1C(C2)Oc1c3ccc(Cl)c1OC1OC(CO)C(O)C(O)C1O,Gate+Docking,gated_docking,2026,1,0.8692440986633301,2.8248443603515625,6.947384834289551,False
Gate_Docking_seed2026_top2,COC(=O)C1C(Cl)C(=O)N2c3ccc(OC4OC(CO)C(O)C(O)C4O)c(c3)OC12O,Gate+Docking,gated_docking,2026,2,0.8480260372161865,2.660751342773437,7.487899780273437,False
Gate_Docking_seed2026_top3,COC(=O)C1(O)CC(CCO)OC1(Cl)OC1OC(CO)C(O)C(O)C1O,Gate+Docking,gated_docking,2026,3,0.9964313507080078,2.421109437942505,6.0486931800842285,False
Gate_Docking_seed2026_top4,COc1ccc(C(=O)CC(O)c2ccc(Cl)c(O)c2)cc1OC1OC(CO)C(O)C(O)C1O,Gate+Docking,gated_docking,2026,4,0.9997543692588806,2.39502477645874,6.652812957763672,False
Gate_Docking_seed2026_top5,COC(=O)C12C(O)C3OC1(OC1OC(CO)C(O)C(O)C1O)OC3(O)C2Cl,Gate+Docking,gated_docking,2026,5,0.9997448325157166,2.3609747886657715,7.509670257568359,False
Gate_Docking_seed2026_top6,COC(=O)C12Oc3c(Cl)ccc(c3OC1OC1OC(CO)C(O)C(O)C1O)C2CC(C)=O,Gate+Docking,gated_docking,2026,6,0.9999597072601318,2.0265491008758545,6.8366570472717285,False
Gate_Docking_seed2026_top7,COc1ccc(C23Oc4cccc(c4O2)C3OC2OC(CO)C(O)C(O)C2O)cc1Cl,Gate+Docking,gated_docking,2026,7,0.9993730187416076,2.0029990673065186,6.3619489669799805,False
Gate_Docking_seed2026_top8,COC(=O)C(O)(OC=O)C(O)(Cl)OC1OC(CO)C(O)C(O)C1O,Gate+Docking,gated_docking,2026,8,0.9999873638153076,1.8272193670272827,6.361833095550537,False
Gate_Docking_seed2026_top9,COc1ccc(C(O)(O)C(O)C(O)OC2OC(CO)C(O)C(O)C2O)cc1Cl,Gate+Docking,gated_docking,2026,9,0.9998295307159424,1.7676913738250732,6.23229455947876,False
Gate_Docking_seed2026_top10,CCC1(CC)OCC2OC(Oc3c(O)cc(OC)c(OC)c3O)C(O)C(O)C2O1,Gate+Docking,gated_docking,2026,10,0.9984849095344543,1.7061538696289062,6.155734062194824,False
Gate_Docking_seed2027_top1,COc1ccccc1N1c2ccc3c(c2OC2OC(CO)C(O)C(O)C2O)C1CC(O)(O)O3,Gate+Docking,gated_docking,2027,1,0.999445140361786,2.8772473335266118,6.027499198913574,True
Gate_Docking_seed2027_top2,COc1cc(N)c(O)c(OC)c1N1CC(C(=O)Oc2cccc(O)c2)CC1=O,Gate+Docking,gated_docking,2027,2,0.9227623343467712,2.8036673069000244,7.107200622558594,True
Gate_Docking_seed2027_top3,CCOc1cc(C2CCc3c(Cl)cc(Oc4cccc(O)c4)cc3O2)ccc1OC,Gate+Docking,gated_docking,2027,3,0.9998728036880492,2.6547019481658936,6.876412391662598,False
Gate_Docking_seed2027_top4,CC1=C(C(=O)Oc2ccc(-c3noc(C(O)O)n3)cc2Cl)c2cc1ccc2O,Gate+Docking,gated_docking,2027,4,0.1324623227119445,2.580171585083008,7.381451606750488,False
Gate_Docking_seed2027_top5,CC=C(C(C)=O)C(OCC)Oc1cccc(O)c1OCc1ccc(O)c(Cl)c1,Gate+Docking,gated_docking,2027,5,0.0097399903461337,2.509873867034912,6.4326276779174805,False
Gate_Docking_seed2027_top6,CCOC1=C2C34OC56OC(Cc7ccccc7)C(=O)OC25CC3OC6N4C(=O)C1,Gate+Docking,gated_docking,2027,6,0.6310388445854187,2.410540819168091,6.903897285461426,False
Gate_Docking_seed2027_top7,CC1OC2(OCC3OC(Oc4c(O)c(O)c5c(O)c4CCO5)C(O)C(O)C3O2)C(O)C(O)C1O,Gate+Docking,gated_docking,2027,7,0.9909891486167908,2.4051196575164795,5.57189416885376,False
Gate_Docking_seed2027_top8,CCOc1cc2oc1c(Cl)c2C(=O)n1c2cc(O)c1c1oc(=O)cc(CN)c12,Gate+Docking,gated_docking,2027,8,0.7822496891021729,2.34919810295105,6.140649795532227,False
Gate_Docking_seed2027_top9,CCOc1c(O)c(OC)cc(NS(=O)(=O)c2ccc(O)cc2)c1F,Gate+Docking,gated_docking,2027,9,0.9192594885826112,2.347907543182373,5.717669486999512,False
Gate_Docking_seed2027_top10,CCc1c(OC(F)C(=O)O)cc(O)cc1OC1OC(CO)C(O)C(O)C1O,Gate+Docking,gated_docking,2027,10,0.9896826148033142,2.297560214996338,6.535356044769287,False
Gate_Docking_seed2028_top1,COc1ccc(C23Oc4cccc(c4O2)C3OC2OC(CO)C(O)C(O)C2O)cc1Cl,Gate+Docking,gated_docking,2028,1,0.9991971850395204,2.532172441482544,6.244139671325684,False
Gate_Docking_seed2028_top2,COc1ccc(C2(O)OCC(O)C(O)C2OC2OC(CO)C(O)C(O)C2O)cc1Cl,Gate+Docking,gated_docking,2028,2,0.9998177886009216,2.450139284133911,6.3802170753479,False
Gate_Docking_seed2028_top3,CC1OC2(Nc3ccccc3Cl)OC1(OC1OC(CO)C(O)C(O)C1O)C(O)C2O,Gate+Docking,gated_docking,2028,3,0.9966630339622498,2.4468722343444824,5.918337345123291,False
Gate_Docking_seed2028_top4,COc1ccc(C2OC3OC2(OC2OC(CO)C(O)C(O)C2O)C(O)C3O)cc1Cl,Gate+Docking,gated_docking,2028,4,0.999066174030304,2.418079376220703,6.191745758056641,False
Gate_Docking_seed2028_top5,COc1ccc(C2(O)OCC(F)=C2N)cc1OC1OC(CO)C(O)C(O)C1O,Gate+Docking,gated_docking,2028,5,0.9549440741539,2.295581102371216,6.917435646057129,False
Gate_Docking_seed2028_top6,CC=C(OC)C(OC1OC(CO)C(OC2(O)CCC(O)C2O)C(O)C1O)=C(F)Cl,Gate+Docking,gated_docking,2028,6,0.9998157620429992,2.1353542804718018,8.02308177947998,False
Gate_Docking_seed2028_top7,COC(=O)C(O)(OC1OC(CO)C(O)C(O)C1O)c1ccc(OC)c(Cl)c1,Gate+Docking,gated_docking,2028,7,0.9979169964790344,2.122936725616455,5.961894512176514,False
Gate_Docking_seed2028_top8,O=C1COC2(OC3OC(CO)C(O)C(O)C3O)C(OCl)C(O)C(CO)OC2(O)N1,Gate+Docking,gated_docking,2028,8,0.9999662637710572,2.1229166984558105,6.950878143310547,False
Gate_Docking_seed2028_top9,CC12OC(=Nc3ccc(OC4OC(CO)C(O)C(O)C4O)cc3Cl)C3OC1NCC3(O)O2,Gate+Docking,gated_docking,2028,9,0.9995599389076232,2.081235408782959,7.308510780334473,False
Gate_Docking_seed2028_top10,COc1ccc(C(O)(O)C(O)CO)c(Cl)c1OC1OC(CO)C(O)C(O)C1O,Gate+Docking,gated_docking,2028,10,0.999975562095642,1.981163740158081,5.865294456481934,False
Gate_Docking_seed2029_top1,O=[SH](=O)N=CC(O)(OC1OC(CO)C(O)C(O)C1O)C(O)c1cc(O)c(O)c(Cl)c1,Gate+Docking,gated_docking,2029,1,0.9940081834793092,2.522881031036377,6.613256931304932,False
Gate_Docking_seed2029_top2,COc1cc2c3c(c1OC1OC(CO)C(O)C(O)C1O)C1(Cl)C4OCC1C(O3)C2O4,Gate+Docking,gated_docking,2029,2,0.9723968505859376,2.4514732360839844,7.206746578216553,False
Gate_Docking_seed2029_top3,COc1c(O)c(CN(C(C)C)C(C)O)c(Cl)c(OC2OC(CO)C(O)C(O)C2O)c1O,Gate+Docking,gated_docking,2029,3,0.9938876032829284,2.311819553375244,7.281977653503418,False
Gate_Docking_seed2029_top4,COc1cc2c(cc1OC1OC(CO)C(O)C(O)C1O)OC1C(CO)CCOC21Cl,Gate+Docking,gated_docking,2029,4,0.8016186952590942,2.281556844711304,7.025781154632568,False
Gate_Docking_seed2029_top5,CC(=O)CC(O)(O)c1cc2c(c(OC3OC(CO)C(O)C(O)C3O)c1)OC(c1ccc(O)c(Cl)c1)C(C)O2,Gate+Docking,gated_docking,2029,5,0.9935429096221924,2.2074131965637207,6.327223777770996,False
Gate_Docking_seed2029_top6,CCOC1=C(C(OC2OC(CO)C(O)C(O)C2O)c2ccc(O)c(O)c2)C(=O)CCC1=O,Gate+Docking,gated_docking,2029,6,0.0286297369748353,2.1969783306121826,5.6961350440979,False
Gate_Docking_seed2029_top7,O=C1CC2CC(O)(c3ccc(Cl)c(O)c3O2)C1OC1OC(CO)C(O)C(O)C1O,Gate+Docking,gated_docking,2029,7,0.5836808085441589,2.192183017730713,6.063296318054199,False
Gate_Docking_seed2029_top8,COc1c(O)c(C)c(Cl)c(OC2OC(CO)C(O)C(O)C2O)c1OC(=O)O,Gate+Docking,gated_docking,2029,8,0.9995579123497008,2.05588436126709,7.053955078125,False
Gate_Docking_seed2029_top9,CC(O)(OC1OC(CO)C(O)C(O)C1O)C(O)c1cc(O)c(O)c(Cl)c1,Gate+Docking,gated_docking,2029,9,0.999847173690796,2.016493320465088,7.480034828186035,False
Gate_Docking_seed2029_top10,CCOC1C(O)C(CO)OC(NC(=N)SC)(OCC2OC(O)C(O)C(O)C2O)C1(O)O,Gate+Docking,gated_docking,2029,10,0.9997428059577942,1.9722102880477903,7.860411643981934,False
Gate_Docking_seed2030_top1,COc1cc(C2NC3CON2C3=O)c(Cl)c(OC2OC(CO)C(O)C(O)C2O)c1O,Gate+Docking,gated_docking,2030,1,0.1259014010429382,2.407135486602783,6.920894622802734,False
Gate_Docking_seed2030_top2,O=C1OC(c2ccc(O)c(Cl)c2)C2C3OC(c4ccccc4C3OC3OC(CO)C(O)C(O)C3O)N12,Gate+Docking,gated_docking,2030,2,0.9480320811271667,2.404468059539795,7.190339088439941,False
Gate_Docking_seed2030_top3,O=C1C=C2COc3c(ccc(OC4OC(CO)C(O)C(O)C4O)c3O)C2C1,Gate+Docking,gated_docking,2030,3,0.4451007843017578,2.397594928741455,6.5362725257873535,False
Gate_Docking_seed2030_top4,NC(=CC=C1C(=O)CC2CC13Oc1cc4oc1c(c43)O2)OC1OC(CO)C(O)C(O)C1O,Gate+Docking,gated_docking,2030,4,0.0420112237334251,2.360513210296631,5.894245147705078,False
Gate_Docking_seed2030_top5,CC(=O)CC1c2cc(O)c(Cl)c(c2O)OC1(CF)OC1OC(CO)C(O)C(O)C1O,Gate+Docking,gated_docking,2030,5,0.996634304523468,2.3595335483551025,6.55083703994751,False
Gate_Docking_seed2030_top6,CCOc1cc(OC2OC3COC(CC)(CC)OC3C(O)C2O)cc2c(O)cc(C=O)nc12,Gate+Docking,gated_docking,2030,6,0.0377732664346694,2.294781446456909,7.077818870544434,False
Gate_Docking_seed2030_top7,O=C1C=C(F)C2(OC3OC(CO)C(O)C(O)C3O)Oc3c(O)c(cc(O)c3Cl)C2C1,Gate+Docking,gated_docking,2030,7,0.9898908138275146,2.1916613578796387,7.019203186035156,False
Gate_Docking_seed2030_top8,O=C1NC2C3NN4C25OC(OC2OC(CO)C(O)C(O)C2O)C14C3(CO)O5,Gate+Docking,gated_docking,2030,8,0.0613723471760749,2.1515371799468994,6.149951457977295,False
Gate_Docking_seed2030_top9,O=C1C=C2COc3c4cc(c(OC5OC(CO)C(O)C(O)C5O)c3O)OC24C1,Gate+Docking,gated_docking,2030,9,0.0212232489138841,1.872408628463745,6.174525260925293,False
Gate_Docking_seed2030_top10,COC(=O)c1ccc(O)c(Oc2c(OC)cc(C)cc2OC2OC(CO)C(O)C(O)C2O)c1Cl,Gate+Docking,gated_docking,2030,10,0.9924847483634948,1.8028895854949951,5.381405830383301,False
Gate_Sweet_seed2026_top1,COC(=O)C(Cc1ccccc1)NC(=O)CCC(=O)O,Gate+Sweet,gated,2026,1,0.9999662637710572,2.446763515472412,4.358776092529297,False
Gate_Sweet_seed2026_top2,COC(=O)C(Cc1ccccc1)NC(=O)CC(C(=O)O)=C(N)C(C)(C)C,Gate+Sweet,gated,2026,2,0.9999244213104248,2.405925035476685,6.538459777832031,False
Gate_Sweet_seed2027_top1,COC(=O)C(Cc1ccc(O)cc1)NC(=O)CC(C(=O)O)=C(N)C(C)(C)C,Gate+Sweet,gated,2027,1,0.9999141693115234,2.7969884872436523,6.085797309875488,False
Gate_Sweet_seed2027_top2,COC(=O)C1(Cc2ccccc2)CC2C(C)CCC2(C=O)N1C(=O)CCC(=O)O,Gate+Sweet,gated,2027,2,0.999937891960144,2.5367836952209477,6.858844757080078,False
Gate_Sweet_seed2027_top3,COC(=O)C(Cc1ccccc1)N1C(=O)CC(C(=O)O)=C2N=C(C(C)(C)C)N=CC21,Gate+Sweet,gated,2027,3,0.9977717995643616,2.4828641414642334,5.739220142364502,False
Gate_Sweet_seed2027_top4,COC(=O)C(Cc1ccccc1)NC(=O)CCC(=O)O,Gate+Sweet,gated,2027,4,0.9999662637710572,2.446763515472412,4.358776092529297,False
Gate_Sweet_seed2027_top5,COC(=O)C1(Cc2ccccc2)N2C(=O)C(CC(=O)O)N1CC2=C(N)C(C)(C)C,Gate+Sweet,gated,2027,5,0.9996519088745116,2.0149426460266118,7.348741054534912,False
Gate_Sweet_seed2027_top6,CCOc1ccc(CC(C(=O)OC)N2C(=O)C(CC(=O)O)OCC2(C)C)cc1,Gate+Sweet,gated,2027,6,0.9998681545257568,1.8123505115509035,6.522743225097656,False
Gate_Sweet_seed2027_top7,COC(=O)C(C)(Cc1ccccc1)NC(=O)CCC(=O)O,Gate+Sweet,gated,2027,7,0.9996373653411864,1.7236334085464478,5.61085319519043,False
Gate_Sweet_seed2027_top8,CCC1(C)C(=O)C(c2ccccc2)C(C(=O)OC)N1C(=O)CCC(=O)O,Gate+Sweet,gated,2027,8,0.0816077142953872,1.3879530429840088,6.193831920623779,False
Gate_Sweet_seed2028_top1,COC(=O)C12NC(=O)C3C(C(=O)O)N(C(=O)N31)C2c1ccccc1,Gate+Sweet,gated,2028,1,0.999875545501709,3.062538385391236,4.969509601593018,True
Gate_Sweet_seed2028_top2,COC(=O)C(Cc1ccccc1)NC(=O)C1SC(=NN)N(N)C1C(=O)O,Gate+Sweet,gated,2028,2,0.9999898672103882,2.855236053466797,6.641831874847412,True
Gate_Sweet_seed2028_top3,COC(=O)C1(Cc2ccccc2)NC(=O)C(CC(=O)O)N1CSC,Gate+Sweet,gated,2028,3,0.9999881982803344,2.853675127029419,5.397027015686035,True
Gate_Sweet_seed2028_top4,CC=C1C=C2CN(CCC2N(C(=O)CCC(=O)O)C(Cc2ccccc2)C(=O)OC)S1(=O)=O,Gate+Sweet,gated,2028,4,0.6894333362579346,2.67051362991333,7.248251914978027,False
Gate_Sweet_seed2028_top5,COCCNC(CC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)OC,Gate+Sweet,gated,2028,5,0.9999831914901732,2.638849973678589,6.603243350982666,False
Gate_Sweet_seed2028_top6,COC(=O)C(Cc1ccccc1)NC(=O)C(CC(=O)O)NCC(C)(C)C,Gate+Sweet,gated,2028,6,0.9999839067459106,2.47899866104126,5.228187084197998,False
Gate_Sweet_seed2028_top7,COC(=O)C(Cc1ccccc1)NC(=O)CCC(=O)O,Gate+Sweet,gated,2028,7,0.9999662637710572,2.446763515472412,4.358775615692139,False
Gate_Sweet_seed2028_top8,COC(=O)C(Cc1ccc(O)cc1)NC(=O)CCC(=O)O,Gate+Sweet,gated,2028,8,0.9998626708984376,1.8219835758209229,5.671478271484375,False
Gate_Sweet_seed2028_top9,COC(=O)C(Cc1ccccc1)N(C(=O)CCC(=O)O)C(C)C(O)Cc1ccccc1,Gate+Sweet,gated,2028,9,0.999816119670868,1.403996229171753,7.2450737953186035,False
Gate_Sweet_seed2029_top1,COC(=O)C(Cc1ccccc1)NC(=O)CCC(=O)O,Gate+Sweet,gated,2029,1,0.9999662637710572,2.446763515472412,4.358776092529297,False
Gate_Sweet_seed2030_top1,COC(=O)C(Cc1ccccc1)(NC(=O)CCC(=O)O)N1CC(C=O)CC1=O,Gate+Sweet,gated,2030,1,0.9999688863754272,2.92413067817688,5.162143707275391,True
Gate_Sweet_seed2030_top2,COC(=O)C(Cc1ccccc1)N(CCc1ccccc1)C(=O)CCC(=O)O,Gate+Sweet,gated,2030,2,0.9998739957809448,2.837982177734375,5.976511478424072,True
