standard_smiles,logSw,ID,Name,latent_index,fold
CC(CNC(=O)C(N)CC(=O)O)C(=O)OC1CCCCC1,0.94,89,asp_143,51,1
CC(COC(=O)C(C)(C)C)NC(=O)C(N)CC(=O)O,2.28,236,asp_84,52,2
CC(COC(=O)C(C)C)NC(=O)C(N)CC(=O)O,1.98,187,asp_78,53,3
CC(COC(=O)C1CC1)NC(=O)C(N)CC(=O)O,2.18,228,asp_80,54,4
CC(COC(=O)C1CC1C)NC(=O)C(N)CC(=O)O,1.68,156,asp_85,55,0
CC(COC(=O)C1CCC1)NC(=O)C(N)CC(=O)O,2.24,233,asp_86,56,1
CC(COC(=O)C1CCC1C)NC(=O)C(N)CC(=O)O,2.13,219,asp_88,57,2
CC(COC(=O)C1CCCC1)NC(=O)C(N)CC(=O)O,1.7,159,asp_89,58,3
CC(COc1ccccc1)NC(=O)C(N)CC(=O)O,1.19,107,asp_5,59,4
CC(Cc1ccc(F)cc1)NC(=O)C(N)CC(=O)O,1.5,138,asp_6,60,0
CC(Cc1ccccc1)NC(=O)C(N)CC(=O)O,1.56,144,asp_3,61,1
CC(Cc1ccco1)NC(=O)C(N)CC(=O)O,1.16,103,asp_7,62,2
CC(O)C(NC(=O)C(N)CC(=O)O)C(=O)OC1CCCCC1,1.375,123,asp_173_180,63,3
CC(O)C(O)C(O)C(O)C=O,-0.16,43,fucose,64,4
CC1(C)C(OC2OC(C(=O)O)C(O)C(O)C2OC2OC(C(=O)O)C(O)C(O)C2O)CC[C@@]2(CO)C1CC[C@]1(C)C2CC=C2C3C[C@](C)(C(=O)O)CC[C@]3(C)CC[C@@]21C,2.0,199,Periandrin_IV,65,0
CC1(C)C(OC2OC(C(=O)O)C(O)C(O)C2OC2OC(C(=O)O)C(O)C(O)C2O)CC[C@@]2(CO)C1CC[C@]1(C)C2CCC2C3=C[C@](C)(C(=O)O)CC[C@]3(C)CC[C@@]21C,2.0,196,Periandrin_III,66,1
CC1(C)C(O[C@@H]2OC(C(=O)O)C(O)C(O)C2O[C@@H]2OC(C(=O)O)C(O)C(O)C2O)CC[C@@]2(C)[C@H]1CC[C@@]1(C)[C@@H]2C(=O)C=C2[C@@H]3C[C@@](C)(C(=O)O)CC[C@@]3(C)CC[C@@]21C,1.96,186,glycyrrhizin,67,2
CC1(C)C(O[C@@H]2OC(C(=O)O)C(O)C(O)C2O[C@@H]2OC(C(=O)O)C(O)C(O)C2O)CC[C@@]2(C=O)[C@H]1CC[C@@]1(C)[C@@H]2CC=C2[C@@H]3C[C@@](C)(C(=O)O)CC[C@@]3(C)CC[C@@]21C,2.0,200,Periandrin_II,68,3
CC1(C)C(O[C@@H]2OC(C(=O)O)C(O)C(O)C2O[C@@H]2OC(C(=O)O)C(O)C(O)C2O)CC[C@@]2(C=O)[C@H]1CC[C@@]1(C)[C@@H]2CC[C@@H]2C3=C[C@@](C)(C(=O)O)CC[C@@]3(C)CC[C@@]21C,1.93,180,Periandrin_I,69,4
CC1(C)CC2C3=CCC4[C@@]5(C)CCC(OC6OC(COC7OCC(O)C(O)C7O)C(O)C(O)C6OC6OC(CO)C(O)C(O)C6O)C(C)(C)C5CC[C@@]4(C)[C@@]3(C)CC(O)[C@]23CC1OC3=O,2.78,278,albiziasaponin_B,70,0
CC1(C)[C@@H](O[C@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O[C@@H]2C[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)CC[C@@]2(C)[C@H]1CC[C@]1(C)[C@@H]2C(=O)C=C2[C@@H]3C[C@@](C)(C(=O)O)CC[C@]3(C)CC[C@]21C,2.3,240,glycyrrhizinate_2,71,1
CC1(C)[C@@H](O[C@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)CC[C@@]2(C)[C@H]1CC[C@]1(C)[C@@H]2C(=O)C=C2[C@@H]3C[C@@](C)(C(=O)O)CC[C@]3(C)CC[C@]21C,2.18,226,glycyrrhizinate_3,72,2
CC1=C(C)C(=O)NS(=O)(=O)O1,2.11,215,acesulfame_potassium_CH3_CH3,73,3
CC1=C(CCc2ccoc2)[C@]2(C)CCC(O[C@@H]3OC(CO)C(O)C(O)C3O[C@@H]3OCC(O)C(O)C3O)C(C)(C)[C@H]2CC1,2.7,271,baiyunoside,74,4
CC1=CC(=O)NS(=O)(=O)O1,2.19,229,acesulfame_potassium_H_CH3,75,0
CC1=CC[C@H](C(C)[C@H]2CC[C@@]3(C)[C@H]4CC[C@H]5[C@@](C)(C(=O)O)C(O[C@H]6OC(C(=O)O)C(O)C(O)C6O[C@H]6OC(CO)C(O)C(O)C6O)CC[C@@]56C[C@]46CC[C@@]23C)OC1=O,1.88,172,abrusoside_D,76,1
CC1=CC[C@H](C(C)[C@H]2CC[C@@]3(C)[C@H]4CC[C@H]5[C@@](C)(C(=O)O)C(O[C@H]6OC(CO)C(O)C(O)C6O[C@H]6OC(CO)C(O)C(O)C6O)CC[C@@]56C[C@]46CC[C@@]23C)OC1=O,1.7,160,abrusoside_C,77,2
CC1=COS(=O)(=O)NC1=O,1.3,117,acesulfame_potassium_CH3_H,78,3
CC1CCC(C(C)C2CCC3C4CC(=O)C5CC(OC6OC(CO)C(O)C(O)C6OC6OC(C)C(O)C(O)C6O)CC[C@]5(C)C4CC[C@@]23C)OC1OC1OC(C)C(O)C(O)C1O,2.65,269,osladin,79,4
CC1CC[C@H](C(C)[C@H]2CC[C@@H]3C4=CC(=O)[C@H]5CC(O[C@H]6OC(CO)C(O)C(O)C6O[C@H]6OC(C)C(O)C(O)C6O)CC[C@]5(C)[C@@H]4CC[C@]32C)OC1O[C@H]1OC(C)C(O)C(O)C1O,2.78,280,polypodoside_A,80,0
CC1OC(O)C(O)C(O)C1O,-0.5,17,rhamnose,81,1
CC1OC(OC2C(Oc3cc(O)c(C(=O)CCc4ccc(O)cc4)c(O)c3)OC(CO)C(O)C2O)C(O)C(O)C1O,2.0,191,naringin_DHC,82,2
CC1O[C@H](OC2C(Oc3cc(O)c(C(=O)CCc4ccc(O)c(O)c4)c(O)c3)OC(CO)C(O)C2O)C(O)C(O)C1O,2.0,190,neoeriocitrin_DHC,83,3
CCC(=O)OCC(C)NC(=O)C(N)CC(=O)O,1.86,171,asp_75,84,4
CCC(=O)OCC(CC)NC(=O)C(N)CC(=O)O,1.48,132,asp_100,85,0
CCC(=O)OCC(CO)NC(=O)C(N)CC(=O)O,1.99,188,asp_91,86,1
CCC(=O)OCC(NC(=O)C(N)CC(=O)O)C(=O)OC,1.53,139,asp_123,87,2
CCC(=O)OCC(NC(=O)C(N)CC(=O)O)C(C)C,1.6,150,asp_107,88,3
CCC(=O)OCC(NC(=O)C(N)CC(=O)O)C(C)O,1.21,110,asp_105,89,4
CCC(=O)OCCNC(=O)C(N)CC(=O)O,0.61,71,asp_68,90,0
CCC(C)C(=O)OCC(C)NC(=O)C(N)CC(=O)O,2.08,213,asp_82,91,1
CCC(C)C(=O)OCC(CO)NC(=O)C(N)CC(=O)O,1.21,111,asp_97,92,2
CCC(C)OC(=O)CC(C)NC(=O)C(N)CC(=O)O,0.6,67,asp_130,93,3
CCC(C)OC(=O)CCNC(=O)C(N)CC(=O)O,0.73,80,asp_134,94,4
CCC(CC)C(=O)OCC(C)NC(=O)C(N)CC(=O)O,1.53,140,asp_87,95,0
CCC(CC)OC(=O)CCNC(=O)C(N)CC(=O)O,0.6,68,asp_136,96,1
CCC(COC(=O)C(C)C)NC(=O)C(N)CC(=O)O,1.38,124,asp_101,97,2
CCC(COC(=O)C1CC1)NC(=O)C(N)CC(=O)O,1.38,125,asp_102,98,3
CCC(COC(=O)C1CCC1)NC(=O)C(N)CC(=O)O,1.4,126,asp_103,99,4
CCC(COC(C)=O)NC(=O)C(N)CC(=O)O,1.16,105,asp_99,100,0
CCC(Cc1ccccc1)NC(=O)C(N)CC(=O)O,0.89,84,asp_16,101,1
CCC(NC(=O)C(N)CC(=O)O)C(=O)OC,1.04,95,asp_159,102,2
CCC(NC(=O)C(N)CC(=O)O)C(=O)OC(C)C,2.15,220,asp_192,103,3
CCC1=C(C)OS(=O)(=O)NC1=O,2.4,250,acesulfame_potassium_CH3CH2_CH3,104,4
CCC1=CC(=O)NS(=O)(=O)O1,2.18,227,acesulfame_potassium_H_CH3CH2,105,0
CCC1=COS(=O)(=O)NC1=O,1.3,118,acesulfame_potassium_CH3CH2_H,106,1
CCCC(=O)OCC(C)NC(=O)C(N)CC(=O)O,1.58,146,asp_77,107,2
CCCC(=O)OCC(CO)NC(=O)C(N)CC(=O)O,0.58,66,asp_94,108,3
CCCC(=O)OCC(NC(=O)C(N)CC(=O)O)C(=O)OC,1.43,128,asp_124,109,4
CCCC(=O)OCCNC(=O)C(N)CC(=O)O,0.56,64,asp_69,110,0
CCCC(C)OC(=O)CCNC(=O)C(N)CC(=O)O,0.68,75,asp_137,111,1
CCCC(COC(C)=O)NC(=O)C(N)CC(=O)O,0.66,73,asp_112,112,2
CCCC(NC(=O)C(N)CC(=O)O)C(=O)OC(C)C,1.43,129,asp_194,113,3
CCCC1=C(C)OS(=O)(=O)NC1=O,1.48,131,acesulfame_potassium_CH3CH2CH2_CH3,114,4
CCCCC(=O)OCC(C)NC(=O)C(N)CC(=O)O,0.6,70,asp_81,115,0
CCCCC(C)NC(=O)C(N)CC(=O)O,1.6,152,asp_9,116,1
CCCCC(NC(=O)C(N)CC(=O)O)C(=O)OC,1.49,136,asp_21,117,2
CCCCCC(C)C(C)NC(=O)C(N)CC(=O)O,1.58,147,asp_18,118,3
CCCCCC(C)NC(=O)C(N)CC(=O)O,1.495,137,asp_10_12,119,4
CCCCCC(NC(=O)C(N)CC(=O)O)C(=O)OC,1.9,176,asp_23,120,0
CCCCCCC(C)NC(=O)C(N)CC(=O)O,1.17,106,asp_15,121,1
CCCCCCC(NC(=O)C(N)CC(=O)O)C(=O)OC,2.07,207,asp_24,122,2
CCCCCOC(=O)C(C)NC(=O)C(N)CC(=O)O,0.68,77,asp_191,123,3
CCCCOC(=O)C(C)NC(=O)C(N)CC(=O)O,0.9,86,asp_190,124,4
CCCCOC(=O)C(CO)NC(=O)C(N)CC(=O)O,1.75,165,asp_164,125,0
CCCCOC(=O)C(NC(=O)C(N)CC(=O)O)C(C)O,1.32,121,asp_171_178,126,1
CCCOC(=O)C(C)NC(=O)C(N)CC(=O)O,2.1,214,asp_188,127,2
CCCOC(=O)C(CC)NC(=O)C(N)CC(=O)O,1.86,170,asp_181,128,3
CCCOC(=O)C(CCC)NC(=O)C(N)CC(=O)O,1.56,143,asp_185,129,4
CCCOC(=O)CNC(=O)C(N)CC(=O)O,0.98,90,asp_183,130,0
CCCOc1ccc(CCC(=O)c2c(O)cc(OC3OC(CO)C(O)C(O)C3O[C@H]3OC(C)C(O)C(O)C3O)cc2O)cc1O,3.3,301,4-O-n-propyl_glycosides_DHC,131,1
CCCOc1ccc([N+](=O)[O-])cc1N,3.6,307,P4000,132,2
CCCSCC(NC(=O)C(N)CC(=O)O)C(=O)OC,2.11,218,asp_61,133,3
CCOC(=O)C(C)NC(=O)C(N)CC(=O)O,1.75,166,asp_187,134,4
CCOC(=O)C(CO)NC(=O)C(N)CC(=O)O,1.92,178,asp_161,135,0
CCOC(=O)C(NC(=O)C(N)CC(=O)O)C(=O)OC(=O)OC1CC2CC[C@]1(C)C2(C)C,4.05,311,asp_215,136,1
CCOC(=O)C(NC(=O)C(N)CC(=O)O)C(=O)OC(C)(C)C,2.32,246,asp_211,137,2
CCOC(=O)C(NC(=O)C(N)CC(=O)O)C(=O)OC1CCCC1,2.44,253,asp_212,138,3
CCOC(=O)C(NC(=O)C(N)CC(=O)O)C(=O)OC1CCCCC1,2.68,270,asp_213,139,4
CCOC(=O)C(NC(=O)C(N)CC(=O)O)C(=O)OC1CCCCC1C,3.09,294,asp_214,140,0
CCOC(=O)CC(NC(=O)C(N)CC(=O)O)C(=O)OC,0.6,69,asp_156,141,1
CCOCCC(C)NC(=O)C(N)CC(=O)O,1.14,100,asp_14,142,2
CCOc1ccc(C2CC(=O)c3c(O)cccc3O2)cc1O,2.18,224,phyllodulcin_5,143,3
CCOc1ccc(CCC(=O)c2c(O)cc(OC3OC(CO)C(O)C(O)C3O[C@H]3OC(C)C(O)C(O)C3O)cc2O)cc1O,3.0,290,homoeohesperidin_DHC,144,4
CCOc1ccc(NC(N)=O)cc1,2.3,241,dulcin,145,0
CCSCC(NC(=O)C(N)CC(=O)O)C(=O)OC,1.6,151,asp_60,146,1
CC[C@@H](C)C(=O)O[C@@H](C)[C@]1(O)CC[C@]2(O)[C@@H]3CC[C@H]4C[C@@H](O[C@@H]5C[C@H](O)[C@H](O[C@H]6C[C@H](OC)[C@H](O[C@H]7C[C@@H](OC)[C@H](O[C@H]8C[C@@H](OC)[C@H](O[C@@H]9O[C@H](C)[C@@H](O[C@@H]%10O[C@H](CO)[C@@H](O)[C@H](O)[C@H]%10O)[C@H](OC)[C@H]9O)[C@@H](C)O8)[C@@H](C)O7)[C@@H](C)O6)[C@@H](C)O5)CC[C@]4(C)[C@H]3C[C@@H](OC(C)=O)[C@]12C,3.0,291,telosmoside_A15,147,2
COC(=O)C(C)CC(NC(=O)C(N)CC(=O)O)C(=O)OC,1.15,101,asp_55,148,3
COC(=O)C(C)NC(=O)C(N)CC(=O)O,1.2,109,asp_186,149,4
COC(=O)C(CC(=O)OC(C)(C)C)NC(=O)C(N)CC(=O)O,1.3,115,asp_157,150,0
COC(=O)C(CC1CCCCC1)NC(=O)C(N)CC(=O)O,2.3,244,asp_20,151,1
COC(=O)C(CCC(C)C)NC(=O)C(N)CC(=O)O,2.11,217,asp_22,152,2
COC(=O)C(CCCCNOC(C)=O)NC(=O)C(N)CC(=O)O,0.27,58,asp_52,153,3
COC(=O)C(CCCNOC(C)=O)NC(=O)C(N)CC(=O)O,0.25,57,asp_53,154,4
COC(=O)C(CO)NC(=O)C(N)CC(=O)O,1.49,135,asp_160,155,0
COC(=O)C(COC(=O)C(C)(C)C)NC(=O)C(N)CC(=O)O,1.81,168,asp_126,156,1
COC(=O)C(COC(=O)C(C)C)NC(=O)C(N)CC(=O)O,1.65,155,asp_125,157,2
COC(=O)C(COC(C)(C)C)NC(=O)C(N)CC(=O)O,2.15,222,asp_64,158,3
COC(=O)C(COC(C)=O)NC(=O)C(N)CC(=O)O,0.91,87,asp_122,159,4
COC(=O)C(CSC(C)(C)C)NC(=O)C(N)CC(=O)O,2.95,286,asp_63,160,0
COC(=O)C(CSC(C)C)NC(=O)C(N)CC(=O)O,2.23,232,asp_62,161,1
COC(=O)C(Cc1ccc(O)cc1)NC(=O)C(N)CC(=O)O,2.15,223,asp_65,162,2
COC(=O)C(Cc1ccccc1)NC(=O)C(CC(=O)O)NC(=O)Nc1ccc(C#N)cc1,4.15,312,superaspartame,163,3
COC(=O)C(Cc1ccccc1)NC(=O)C(CC(=O)O)NCCC(C)(C)C,3.89,309,neotame,164,4
COC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(=O)O,2.11,216,asp_19,165,0
COC(=O)C(NC(=O)C(N)CC(=O)O)C(=O)OC(C)(C)C,2.03,203,asp_197,166,1
COC(=O)C(NC(=O)C(N)CC(=O)O)C(=O)OC1CC(C)CC(C)(C)C1,2.76,276,asp_207,167,2
COC(=O)C(NC(=O)C(N)CC(=O)O)C(=O)OC1CCCC(C)C1,3.02,292,asp_204,168,3
COC(=O)C(NC(=O)C(N)CC(=O)O)C(=O)OC1CCCC1,2.92,285,asp_200,169,4
COC(=O)C(NC(=O)C(N)CC(=O)O)C(=O)OC1CCCCC1,3.14,297,asp_201,170,0
COC(=O)C1O[C@H](OC2CC[C@]34C[C@@]35CC[C@@]3(C)[C@@H](C(C)[C@H]6CC=C(C)C(=O)O6)CC[C@@]3(C)[C@H]5CC[C@H]4[C@@]2(C)C(=O)O)C(O[C@H]2OC(CO)C(O)C(O)C2O)C(O)C1O,2.0,198,abrusoside_B,171,1
COC(=O)CC(C)NC(=O)C(N)CC(=O)O,0.43,61,asp_153,172,2
COC(=O)CCC(NC(=O)C(N)CC(=O)O)C(=O)OC,2.0,197,asp_66,173,3
COC(=O)CCCNC(=O)C(N)CC(=O)O,0.13,54,asp_58,174,4
COC(=O)CCNC(=O)C(N)CC(=O)O,0.11,52,asp_154,175,0
COC(=O)CNC(=O)C(N)CC(=O)O,0.68,76,asp_182,176,1
COC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N)CC(=O)O,2.25,234,aspartame,177,2
COc1cc2c(cc1O)C1CC[C@]3(C)CCCC3C1CC2,1.7,158,isovanillic_26,178,3
COc1ccc(C(O)Oc2ccccc2)cc1O,2.18,225,isovanillic_18,179,4
COc1ccc(C2CC(=O)c3c(O)cccc3O2)cc1O,2.54,264,phyllodulcin_4,180,0
COc1ccc(C2CCc3ccccc3O2)cc1O,2.54,263,isovanillic_3,181,1
COc1ccc(C2CCc3ccccc3S2)cc1O,2.3,239,isovanillic_10,182,2
COc1ccc(C2COc3ccccc3C2)cc1O,2.3,242,isovanillic_1,183,3
COc1ccc(C2COc3ccccc3O2)cc1O,2.65,268,isovanillic_4,184,4
COc1ccc(C2COc3ccccc3S2)cc1O,3.3,302,isovanillic_9,185,0
COc1ccc(C2CS(=O)(=O)c3ccccc3O2)cc1O,1.7,161,isovanillic_17,186,1
COc1ccc(C2CSc3cc(O)ccc3O2)cc1O,2.7,273,isovanillic_19,187,2
COc1ccc(C2CSc3ccccc3O2)cc1O,2.4,251,isovanillic_7,188,3
COc1ccc(C2CSc3ccccc3S2)cc1O,2.65,267,isovanillic_12,189,4
COc1ccc(C2Cc3cccc(O)c3C(=O)O2)cc1O,2.85,283,phyllodulcin_1,190,0
COc1ccc(C2Cc3ccccc3C(=O)O2)cc1O,2.0,194,phyllodulcin_2,191,1
COc1ccc(C2Cc3ccccc3CO2)cc1O,2.54,265,isovanillic_2,192,2
COc1ccc(C2OC(=O)c3ccccc3O2)cc1O,2.0,192,phyllodulcin_6,193,3
COc1ccc(C2OC(=O)c3ccccc3S2)cc1O,2.48,256,phyllodulcin_7,194,4
COc1ccc(C2Oc3cc(O)cc(O)c3C(=O)C2OC(C)=O)cc1O,2.7,272,isovanillic_13,195,0
COc1ccc(C2Oc3ccccc3CS2)cc1O,2.7,274,isovanillic_6,196,1
COc1ccc(C2Oc3ccccc3S2)cc1O,2.48,255,isovanillic_23,197,2
COc1ccc(C2SCc3ccccc3S2)cc1O,4.0,310,isovanillic_11,198,3
COc1ccc(C2Sc3ccccc3S2)cc1O,2.3,237,isovanillic_22,199,4
COc1ccc(CCC(=O)c2c(O)cc(O)cc2O)cc1O,2.82,282,isovanillic_20,200,0
COc1ccc(CCC(=O)c2c(O)cc(OC3OC(CO)C(O)C(O)C3O)cc2O)cc1O,2.0,202,hesperinin_glucoside_DHC,201,1
